date,province,region,variable,value
1/1/2020,Phichit ,north,ratio_tourist_stay,54.08
1/1/2020,Nakhon Sawan ,north,ratio_tourist_stay,61.79
1/1/2020,Tak ,north,ratio_tourist_stay,75.73
1/1/2020,Phitsanulok ,north,ratio_tourist_stay,69.01
1/1/2020,Phayao ,north,ratio_tourist_stay,66.44
1/1/2020,Phetchabun ,north,ratio_tourist_stay,72.11
1/1/2020,Phrae ,north,ratio_tourist_stay,69.13
1/1/2020,Lampang ,north,ratio_tourist_stay,72.29
1/1/2020,Lamphun ,north,ratio_tourist_stay,60.46
1/1/2020,Mae Hong Son ,north,ratio_tourist_stay,69.36
1/1/2020,Uttaradit ,north,ratio_tourist_stay,60.58
1/1/2020,Uthai Thani ,north,ratio_tourist_stay,49.78
1/1/2020,Sukhothai ,north,ratio_tourist_stay,66.86
1/1/2020,Nan ,north,ratio_tourist_stay,82.98
1/1/2020,Kalasin ,east_northeast,ratio_tourist_stay,50.42
1/1/2020,Khon Kaen ,east_northeast,ratio_tourist_stay,57.25
1/1/2020,Chaiyaphum ,east_northeast,ratio_tourist_stay,61.26
1/1/2020,Nakhon Phanom ,east_northeast,ratio_tourist_stay,63.13
1/1/2020,Nakhon Ratchasima ,east_northeast,ratio_tourist_stay,73.36
1/1/2020,Buriram ,east_northeast,ratio_tourist_stay,65.4
1/1/2020,Maha Sarakham ,east_northeast,ratio_tourist_stay,54.73
1/1/2020,Mukdahan ,east_northeast,ratio_tourist_stay,61.12
1/1/2020,Roi Et ,east_northeast,ratio_tourist_stay,58.69
1/1/2020,Loei ,east_northeast,ratio_tourist_stay,72.31
1/1/2020,Sisaket ,south,ratio_tourist_stay,65.69
1/1/2020,Surin ,east_northeast,ratio_tourist_stay,58.12
1/1/2020,Nong Khai ,east_northeast,ratio_tourist_stay,70.08
1/1/2020,Bueng Kan ,east_northeast,ratio_tourist_stay,72.86
1/1/2020,Udon Thani ,east_northeast,ratio_tourist_stay,83.19
1/1/2020,Ubon Ratchathani ,east_northeast,ratio_tourist_stay,71.5
1/1/2020,Sakon Nakhon ,east_northeast,ratio_tourist_stay,64.41
1/1/2020,Yasothon ,east_northeast,ratio_tourist_stay,50.85
1/1/2020,Amnat Charoen ,east_northeast,ratio_tourist_stay,58.36
1/1/2020,Nong Bua Lamphu ,east_northeast,ratio_tourist_stay,53.36
1/1/2021,Bangkok,central,ratio_tourist_stay,7.54
1/1/2021,Lopburi ,central,ratio_tourist_stay,20.48
1/1/2021,Phra Nakhon Si Ayutthaya ,central,ratio_tourist_stay,18.16
1/1/2021,Saraburi ,central,ratio_tourist_stay,19.05
1/1/2021,Chainat ,central,ratio_tourist_stay,16.13
1/1/2021,Nakhon Pathom ,central,ratio_tourist_stay,16.53
1/1/2021,Sing Buri ,central,ratio_tourist_stay,11.82
1/1/2021,Ang Thong ,central,ratio_tourist_stay,5.38
1/1/2021,Nonthaburi ,central,ratio_tourist_stay,5.83
1/1/2021,Pathum Thani ,central,ratio_tourist_stay,7.81
1/1/2021,Samut Prakan ,central,ratio_tourist_stay,5.52
1/1/2021,Samut Sakhon ,central,ratio_tourist_stay,0
1/1/2021,Chachoengsao ,east,ratio_tourist_stay,4.82
1/1/2021,Ratchaburi ,central,ratio_tourist_stay,16.89
1/1/2021,Kanchanaburi ,central,ratio_tourist_stay,12.86
1/1/2021,Samut Songkhram ,central,ratio_tourist_stay,3.38
1/1/2021,Suphan Buri ,central,ratio_tourist_stay,8.62
1/1/2021,Phetchaburi ,central,ratio_tourist_stay,20.38
1/1/2021,Prachuap Khiri Khan ,central,ratio_tourist_stay,10.62
1/1/2021,Chonburi ,east,ratio_tourist_stay,0.92
1/1/2021,Chanthaburi ,east,ratio_tourist_stay,0
1/1/2021,Trat ,east,ratio_tourist_stay,1.23
1/1/2021,Nakhon Nayok ,east,ratio_tourist_stay,28.56
1/1/2021,Prachinburi ,east,ratio_tourist_stay,24.02
1/1/2021,Rayong ,east,ratio_tourist_stay,7.04
1/1/2021,Sa Kaeo ,east,ratio_tourist_stay,19.81
1/1/2021,Phuket ,south,ratio_tourist_stay,2.45
1/1/2021,Phatthalung ,south,ratio_tourist_stay,22.52
1/1/2021,Trang ,south,ratio_tourist_stay,15.33
1/1/2021,Ranong ,south,ratio_tourist_stay,10.31
1/1/2021,Chumphon ,south,ratio_tourist_stay,12.48
